Code,Party,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename
BRB,Barbados,Barbados First NDC (Updated submission),NDC,English,2,Active,2021-07-30,https://unfccc.int/sites/default/files/NDC/2022-06/2021%20Barbados%20NDC%20update%20-%2021%20July%202021.pdf,2021 Barbados NDC update - 21 July 2021.pdf
BLR,Belarus,Belarus First NDC (Updated submission),Addendum,English,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_Letter.pdf,Belarus_Letter.pdf
BLR,Belarus,Republic of Belarus NDC for 2026-2035,NDC,Russian,,Active,2025-11-10,https://unfccc.int/sites/default/files/2025-11/Republic%20of%20Belarus%20NDC%20for%202026-2035.pdf,Republic of Belarus NDC for 2026-2035.pdf
BLR,Belarus,Belarus First NDC (Archived),NDC,Russian,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_INDC_Rus_25.09.2015.pdf,Belarus_INDC_Rus_25.09.2015.pdf
BLR,Belarus,Belarus First NDC (Updated submission),NDC,Russian,2,Active,2021-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_NDC_Russian.pdf,Belarus_NDC_Russian.pdf
BLR,Belarus,Belarus First NDC (Archived),Translation,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_INDC_Eng_25.09.2015.pdf,Belarus_INDC_Eng_25.09.2015.pdf
BLR,Belarus,Belarus First NDC (Updated submission),Translation,English,2,Active,2021-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_NDC_English.pdf,Belarus_NDC_English.pdf
BEL,Belgium,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
BEL,Belgium,EU First NDC (Archived),NDC,English,1,Archived,2017-04-06,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
BEL,Belgium,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
BEL,Belgium,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
BLZ,Belize,Belize NDC 3.0 Update,NDC,English,,Active,2025-06-14,https://unfccc.int/sites/default/files/2025-06/BELIZE%20FINAL%20NDC%203.0.pdf,BELIZE FINAL NDC 3.0.pdf
BLZ,Belize,Belize First NDC (Archived),NDC,English,1,Archived,2016-04-20,https://unfccc.int/sites/default/files/NDC/2022-06/BELIZE%27s%20%20NDC.pdf,BELIZE's  NDC.pdf
BLZ,Belize,Belize First NDC (Updated submission),NDC,English,2,Active,2021-09-01,https://unfccc.int/sites/default/files/NDC/2022-06/Belize%20Updated%20NDC.pdf,Belize Updated NDC.pdf
BEN,Benin,Benin First NDC (Archived),NDC,French,1,Archived,2017-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_BENIN_VERSION%20FINALE.pdf,CDN_BENIN_VERSION FINALE.pdf
BEN,Benin,Benin First NDC (Updated submission),NDC,French,2,Active,2021-10-12,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf,CDN_ACTUALISEE_BENIN2021.pdf
BEN,Benin,Benin First NDC (Archived),Translation,English,1,Archived,2017-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_BENIN_VERSION_ANGLAISE.pdf,CDN_BENIN_VERSION_ANGLAISE.pdf
BTN,Bhutan,Forward Note for submission of Second NDC,Addendum,English,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/Forward%20Note.PDF,Forward Note.PDF
BTN,Bhutan,Bhutan's NDC 3.0 (Provisional),NDC,English,,Active,2025-11-10,https://unfccc.int/sites/default/files/2025-11/Third%20NDC%20%28Provisional%29_10%20November%202025.pdf,Third NDC (Provisional)_10 November 2025.pdf
BTN,Bhutan,Bhutan First NDC (Archived),NDC,English,1,Archived,2017-09-19,https://unfccc.int/sites/default/files/NDC/2022-06/Bhutan-INDC-20150930.pdf,Bhutan-INDC-20150930.pdf
BTN,Bhutan,Bhutan Second NDC,NDC,English,2,Active,2021-06-24,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20Bhutan.pdf,Second NDC Bhutan.pdf
BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of) NDC 3.0,NDC,Spanish,,Active,2025-09-29,https://unfccc.int/sites/default/files/2025-09/Bolivia_NDC3.0_2026-2035%20final%2029.09.2024.pdf,Bolivia_NDC3.0_2026-2035 final 29.09.2024.pdf
BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of) First NDC,NDC,Spanish,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/NDC/2022-06/ESTADO%20PLURINACIONAL%20DE%20BOLIVIA1.pdf,ESTADO PLURINACIONAL DE BOLIVIA1.pdf
BOL,Bolivia (Plurinational State of),Contribución Nacionalmente Determinada del Estado Plurinacional de Bolivia 2021-2030,NDC,Spanish,2,Archived,2022-04-15,https://unfccc.int/sites/default/files/NDC/2022-06/CND%20Bolivia%202021-2030.pdf,CND Bolivia 2021-2030.pdf
BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of) First NDC,Translation,English,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-Bolivia-english.pdf,INDC-Bolivia-english.pdf
BOL,Bolivia (Plurinational State of),Nationally Determined Contribution of the Plurinational State of Bolivia,Translation,English,2,Archived,2022-04-15,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Bolivia-2021-2030_UNFCCC_en.pdf,NDC_Bolivia-2021-2030_UNFCCC_en.pdf
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina First NDC (Archived),NDC,English,1,Archived,2017-03-16,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Bosnia%20and%20Herzegovina.pdf,INDC Bosnia and Herzegovina.pdf
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina First NDC (Updated submission),NDC,English,2,Active,2021-04-20,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf,NDC BiH_November 2020 FINAL DRAFT 05 Nov ENG LR.pdf
BWA,Botswana,Botswana First NDC,NDC,English,1,Active,2016-11-11,https://unfccc.int/sites/default/files/NDC/2022-06/BOTSWANA.pdf,BOTSWANA.pdf
BWA,Botswana,Botswana’s 2nd Updated Nationally Determined Contribution under the Paris Agreement,NDC,English,2,Active,2024-12-24,https://unfccc.int/sites/default/files/2024-12/BOTSWANA_NDC_2%20REPORT.pdf,BOTSWANA_NDC_2 REPORT.pdf
BRA,Brazil,Explanatory Letter_Brazil,Addendum,English,2,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/Explanatory%20Letter_Brazil.pdf,Explanatory Letter_Brazil.pdf
BRA,Brazil,Brazil First NDC (Updated submission-letter),Addendum,English,2,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/2021%20-%20Carta%20MRE.pdf,2021 - Carta MRE.pdf
BRA,Brazil,Brazil Second Nationally Determined Contribution,NDC,English,,Active,2024-11-13,https://unfccc.int/sites/default/files/2024-11/Brazil_Second%20Nationally%20Determined%20Contribution%20%28NDC%29_November2024.pdf,Brazil_Second Nationally Determined Contribution (NDC)_November2024.pdf
BRA,Brazil,Brazil First NDC (Archived),NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/BRAZIL%20iNDC%20english%20FINAL.pdf,BRAZIL iNDC english FINAL.pdf
BRA,Brazil,Brazil First NDC (archived Updated submission),NDC,English,2,Archived,2020-12-09,https://unfccc.int/sites/default/files/NDC/2022-06/Brazil%20First%20NDC%20%28Updated%20submission%29.pdf,Brazil First NDC (Updated submission).pdf
BRA,Brazil,Brazil First NDC - Second update,NDC,English,3,Archived,2022-04-07,https://unfccc.int/sites/default/files/NDC/2022-06/Updated%20-%20First%20NDC%20-%20%20FINAL%20-%20PDF.pdf,Updated - First NDC -  FINAL - PDF.pdf
BRA,Brazil,Brazil First NDC 2023 adjustment,NDC,English,4,Active,2023-11-03,https://unfccc.int/sites/default/files/NDC/2023-11/Brazil%20First%20NDC%202023%20adjustment.pdf,Brazil First NDC 2023 adjustment.pdf
BRN,Brunei Darussalam,[(20) KPN.CC.UN.1.30.12.2020] TO UNFCCC SECRETARIAT - Brunei Darussalam Nationally Determined Contribution,Addendum,English,1,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/%5B%2820%29%20KPN.CC.UN.1.30.12.2020%5D%20TO%20UNFCCC%20SECRETARIAT%20-%20Brunei%20Darussalam%20Nationally%20Determined%20Contribution.pdf,[(20) KPN.CC.UN.1.30.12.2020] TO UNFCCC SECRETARIAT - Brunei Darussalam Nationally Determined Contribution.pdf
